strongs_number,original_word,testament,language,part_of_speech,english_meaning,telugu_meaning,occurrences
H322,אֲחוֹרַנִּיתּ,Old Testament,Hebrew,verb,again).,,7
H323,אֲחַשׁדַּרפַּן,Old Testament,Hebrew,noun,a satrap or governor of a main province (of Persia),,4
A324,אֲחַשׁדַּרפַּן,Old Testament,Aramaic,noun,prince,,9
H325,אֲחַשׁוֵרוֹשׁ אַחַשׁרוֹשׁ,Old Testament,Hebrew,noun proper,"but in this case Xerxes), the title (rather than name) of a Persian king",,32
H326,אֲחַשׁתָּרִי,Old Testament,Hebrew,noun proper,an achastarite (i.e. courier); the designation (rather than name) of an Israelite,,1
H327,אֲחַשׁתָּרָן,Old Testament,Hebrew,adjective,a mule,,2
H328,אַט,Old Testament,Hebrew,verb,(as an adverb) gently,,6
H329,אָטָד,Old Testament,Hebrew,noun,"bramble, thorn.",,4
H330,אֵטוּן,Old Testament,Hebrew,noun,i.e. tapestry,,1
H331,אָטַם,Old Testament,Hebrew,verb,"shut, stop.",,8
H332,אָטַר,Old Testament,Hebrew,verb,to close up,,2
H333,אָטֵר,Old Testament,Hebrew,noun proper,the name of three Israelites,,5
H334,אִטֵּר,Old Testament,Hebrew,adjective,i.e. impeded (as to the use of the right hand),,2
H335,אַי,Old Testament,Hebrew,verb,"what, whence, where, whether, which (way).",,38
H336,אִי,Old Testament,Hebrew,verb,not,,2
H337,אִי,Old Testament,Hebrew,injunction,alas!,,2
H338,אִי,Old Testament,Hebrew,noun,(properly) a howler; any solitary wild creature,,3
H339,אִי,Old Testament,Hebrew,noun,"a coast, an island",,35
H340,אָיַב,Old Testament,Hebrew,verb,to hate (as one of an opposite tribe or party); hence to be hostile,,1
H341,אוֹיֵב אוֹיֵב,Old Testament,Hebrew,substantive,foe.,,284
H342,אֵיבָּה,Old Testament,Hebrew,noun,hatred.,,5
H343,אֵידּ,Old Testament,Hebrew,noun,ruin,,24
H344,אַיָה,Old Testament,Hebrew,noun,i.e. a hawk,,4
H345,אַיָה,Old Testament,Hebrew,noun proper,the name of two Israelites,,6
H346,אַיֵה,Old Testament,Hebrew,verb,where?,,46
H347,אִיוֹב,Old Testament,Hebrew,noun proper,the patriarch famous for his patience,,58
H348,אִיזֶבֶל,Old Testament,Hebrew,noun proper,the wife of king Ahab,,22
H349,אֵיכּ אֵיכָּה אֵיכָּכָה,Old Testament,Hebrew,injunction,what.,,82
H350,אִי ־ כָּבוֹד,Old Testament,Hebrew,noun proper,"Ikabod, a son of Phineas",,2
H351,אֵיכּוֹה,Old Testament,Hebrew,injunction,but not as an interogative],,1
H352,אַיִל,Old Testament,Hebrew,noun,politically) a chief,,195
H353,אֱיָל,Old Testament,Hebrew,noun,strength,,1
H354,אַיָל,Old Testament,Hebrew,noun,a stag or male deer,,11
H355,אַיָלָה,Old Testament,Hebrew,noun,a doe or female deer,,8
H356,אֵילוֹן אֵלוֹן אֵילוֹן,Old Testament,Hebrew,noun proper,"the name of a place in Israel, and also of one Hittite, two Israelites",,7
H357,אַיָלוֹן,Old Testament,Hebrew,noun location,the name of five places in Israel,,10
H358,אֵילוֹן בֵּיתּ חָנָן,Old Testament,Hebrew,noun location,a place in Israel,,1
H359,אֵילוֹת אֵילַת,Old Testament,Hebrew,noun location,a place on the Red Sea,,8
H360,אֱיָלוּת,Old Testament,Hebrew,noun,power; (by implication) protection,,1
H361,אֵילָם אֵלָם אֵלַמָּה,Old Testament,Hebrew,noun,i.e. a pale (or portico),,27
H362,אֵילִם,Old Testament,Hebrew,noun location,a place in the Desert,,6
A363,אִילָן,Old Testament,Aramaic,noun,a tree,,6
H364,אֵיל פָּארָן,Old Testament,Hebrew,noun location,a portion of the district of Paran,,1
H365,אַיֱלֱת,Old Testament,Hebrew,noun,Aijeleth.,,3
H366,אָיוֹם,Old Testament,Hebrew,adjective,frightful,,3
H367,אֵימָה אֵמָה,Old Testament,Hebrew,noun,"fear, horror, idol, terrible, terror.",,17
H368,אֵימִים,Old Testament,Hebrew,noun proper,an early Canaanitish (or Maobitish) tribe,,3
H369,אַיִן,Old Testament,Hebrew,particle negative,"except, fail, (father-)less, be gone, in(-curable), neither, never, no (where), none, nor, (any, thing), not, nothing, to nought, past, un(-searchable), well-nigh, without.",,791
H370,אַיִן,Old Testament,Hebrew,verb,where.,,16
H371,אִין,Old Testament,Hebrew,verb,but (like H0370) an interrogative,,1
H372,אִיעֶזֵר,Old Testament,Hebrew,noun proper,an Israelite,,1
H373,אִיעֶזרִי,Old Testament,Hebrew,adjective,an Iezrite or descendant of Iezer,,1
H374,אֵיפָה אֵפָה,Old Testament,Hebrew,noun,(divers) measure(-s).,,40
H375,אֵיפוֹה,Old Testament,Hebrew,verb,where.,,10
H376,אִישׁ,Old Testament,Hebrew,noun,"another, any (man), a certain, + champion, consent, each, every (one), fellow, (foot-, husband-)man, (good-, great, mighty) man, he, high (degree), him (that is), husband, man(-kind), + none, one, people, person, + steward, what (man) soever, whoso(-ever), worthy.",ఒక వ్యక్తి లేదా మగ వ్యక్తిగా ఒక వ్యక్తి; తరచుగా మరింత ఖచ్చితమైన పదానికి అనుబంధంగా ఉపయోగించబడుతుంది (మరియు అలాంటి సందర్భాలలో తరచుగా అనువాదంలో వ్యక్తీకరించబడదు),1662
H377,אִישׁ,Old Testament,Hebrew,verb,i.e. act in a manly way,,1
H378,אִישׁ ־ בּוֹשֶׁת,Old Testament,Hebrew,noun proper,a son of King Saul,,11
H379,אִישׁהוֹד,Old Testament,Hebrew,noun proper,an Israelite,,1
H380,אִישׁוֹן,Old Testament,Hebrew,noun,"black, obscure.",,6
H381,אִישׁ ־ חַיִל אִישׁ ־ חַי,Old Testament,Hebrew,noun,an Israelite,,4
H382,אִישׁ ־ טּוֹב,Old Testament,Hebrew,noun location,a place in Israel,,19
A383,אִיתַּי,Old Testament,Aramaic,substantive,there is,,3
H384,אִיתִּיאֵל,Old Testament,Hebrew,noun proper,"the name of an Israelite, also of a symbolical person",,21
H385,אִיתָּמָר,Old Testament,Hebrew,noun proper,a son of Aaron,,13
H386,אֵיתָּן,Old Testament,Hebrew,adjective,(specifically) a chieftain,,8
H387,אֵיתָּן,Old Testament,Hebrew,noun proper,the name of four Israelites,,1
H388,אֵיתָּנִים,Old Testament,Hebrew,noun proper,the name of a month,,161
H389,אַך,Old Testament,Hebrew,verb,hence (by limitation) only,,1
H390,אַכַּד,Old Testament,Hebrew,noun location,a place in Babylon,,2
H391,אַכזָב,Old Testament,Hebrew,adjective,lie.,,4
H392,אַכזִיבּ,Old Testament,Hebrew,noun location,the name of two places in Israel,,4
H393,אַכזָר,Old Testament,Hebrew,adjective,in a good sense) brave,,8
H394,אַכזָרִי,Old Testament,Hebrew,adjective,terrible,,1
H395,אַכזְרִיוּת,Old Testament,Hebrew,noun,fierceness,,1
H396,אֲכִילָה,Old Testament,Hebrew,noun,i.e. food,,21
H397,אָכִישׁ,Old Testament,Hebrew,noun proper,a Philistine king,,813
H398,אָכַל,Old Testament,Hebrew,verb,"burn up, consume, devour(-er, up), dine, eat(-er, up), feed (with), food, X freely, X in...wise(-deed, plenty), (lay) meat, X quite.",,7
A399,אֲכַל,Old Testament,Aramaic,verb,"devour, eat",,44
H400,אוֹכֶל,Old Testament,Hebrew,noun,"food, meal(-time), meat, prey, victuals.",,1
H401,אוּכָל אוּכָּל,Old Testament,Hebrew,noun proper,a fancy name,,18
H402,אוֹכלָה,Old Testament,Hebrew,noun,"devour, eat, food, meat.",,18
H403,אָכֵן,Old Testament,Hebrew,verb,advers.) but,,1
H404,אָכַף,Old Testament,Hebrew,verb,apparently meaning to curve (as with a burden); to urge,,1
H405,אֶכֶף,Old Testament,Hebrew,noun,a load; (by implication) a stroke; (other) dignity,,7
H406,אִכָּר,Old Testament,Hebrew,noun,ploughman.,,3
H407,אַכשָׁף,Old Testament,Hebrew,noun location,a place in Israel,,727
H408,אַל,Old Testament,Hebrew,verb,"neither, + never, no ,nor, not, nothing (worth), rather than.",,4
A409,אַל,Old Testament,Aramaic,verb,not,,244
H410,אֵל,Old Testament,Hebrew,noun,"X goodly, X great, idol, might(-y one), power, strong.",బలం; (విశేషణంగా) శక్తివంతమైన,9
H411,אֵל,Old Testament,Hebrew,particle demonstrative,those,,2
A412,אֵל,Old Testament,Aramaic,particle demonstrative,these,,5515
H413,אֵל אֶל,Old Testament,Hebrew,preposition,"(often, generally) to",,1
H414,אֵלָא,Old Testament,Hebrew,noun proper,an Israelite,,3
H415,אֵל אֱלוֹהֵי יִשׂרָאֵל,Old Testament,Hebrew,noun location,the title given to a consecrated spot by Jacob,,1
H416,אֵל בֵּיתּ ־ אֵל,Old Testament,Hebrew,noun location,the title given to a consecrated spot by Jacob,,1
H417,אֶלגָּבִישׁ,Old Testament,Hebrew,noun,H1378,,3
H418,אַלגּוּמִּים,Old Testament,Hebrew,noun,sticks of algum wood,,3
H419,אֶלדָּד,Old Testament,Hebrew,noun proper,an Israelite,,2
H420,אֶלדָּעָה,Old Testament,Hebrew,noun proper,a son of Midian,,2
H421,אָלָה,Old Testament,Hebrew,verb,to bewail,,1
H422,אָלָה,Old Testament,Hebrew,verb,in a bad sense) to invoke a curse,,6
H423,אָלָה,Old Testament,Hebrew,noun,"(usually, in a bad sense) a curse",,36
H424,אֵלָה,Old Testament,Hebrew,noun,"oak, teil-tree.",,13
H425,אֵלָה,Old Testament,Hebrew,noun proper,"the name of an Edomite, of four Israelites, and also of a place in Israel",,13
A426,אֱלָהּ,Old Testament,Aramaic,noun,god.,,96
H427,אַלָּה,Old Testament,Hebrew,noun,oak,,1
H428,אֵלֶּה,Old Testament,Hebrew,pronoun demonstrative,"so, some, such, them, these (same), they, this, those, thus, which, who(-m).",,746
A429,אֵלֶּה,Old Testament,Aramaic,pronoun demonstrative,these,,1
H430,אֱלוֹהִים,Old Testament,Hebrew,noun,occasionally applied by way of deference to magistrates,దేవుడు (బహువచనం),2602
A431,אֲלוּ,Old Testament,Aramaic,injunction,lo!,,5
H432,אִלּוּ,Old Testament,Hebrew,conjunction,yea though.,,2
H433,אֱלוַֹהּ אֱלוַֹהּ,Old Testament,Hebrew,noun,god. See H0430.,,58
H434,אֱלוּל,Old Testament,Hebrew,adjective,good for nothing,,1
H435,אֱלוּל,Old Testament,Hebrew,noun proper time,the sixth Jewish month,,1
H436,אֵלוֹן,Old Testament,Hebrew,noun,an oak or other strong tree,,9
H437,אַלּוֹן,Old Testament,Hebrew,noun,oak,,8
H438,אַלּוֹן,Old Testament,Hebrew,noun proper,"an Israelite, also a place in Israel",,2
H439,אַלּוֹן בָּכוּת,Old Testament,Hebrew,noun location,a monumental tree,,2
H440,אֵלוֹנִי אֵלוֹנִי,Old Testament,Hebrew,adjective,an Elonite or descendant (collectively) of Elon,,1
H441,אַלוּף אַלּוּף,Old Testament,Hebrew,adjective,(hence) a bullock (as being tame,,69
H442,אָלוּשׁ,Old Testament,Hebrew,noun location,a place in the Desert,,2
H443,אֶלזָבָד,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H444,אָלַח,Old Testament,Hebrew,verb,to muddle; (figuratively and intransitive) to turn; (morally) corrupt,,3
H445,אֶלחָנָן,Old Testament,Hebrew,noun proper,an Israelite,,4
H446,אֱלִיאָב,Old Testament,Hebrew,noun proper,the name of six Israelites,,21
H447,אֱלִיאֵל,Old Testament,Hebrew,noun proper,the name of nine Israelites,,10
H448,אֱלִיאָתָה אֱלִיָתָה,Old Testament,Hebrew,noun proper,an Israelite,,2
H449,אֱלִידָּד,Old Testament,Hebrew,noun proper,an Israelite,,1
H450,אֶליָדָע,Old Testament,Hebrew,noun proper,the name of two Israelites and of an Aramaean leader,,4
H451,אַליָה,Old Testament,Hebrew,noun,i.e. the fat tail of the Oriental sheep,,5
H452,אֵלִיָה אֵלִיָהוּ,Old Testament,Hebrew,noun proper,the name of the famous prophet and of two other Israelites,,71
H453,אֱלִיהוּ אֱלִיהוּא,Old Testament,Hebrew,noun proper,"the name of one of Job's friends, and of three Israelites",,11
H454,אֶליְהוֹעֵינַי אֶליוֹעֵינַי,Old Testament,Hebrew,noun proper,the name of seven Israelites,,9
H455,אֶליַחבָּא,Old Testament,Hebrew,noun proper,an Israelite,,2
H456,אֱלִיחוֹרֶף,Old Testament,Hebrew,noun proper,an Israelite,,1
H457,אֱלִיל,Old Testament,Hebrew,adjective,specifically an idol,,21
H458,אֱלִימֶלֶך,Old Testament,Hebrew,noun proper,an Israelite,,6
A459,אִלֵּין אִלֵּן,Old Testament,Aramaic,pronoun demonstrative,these.,,5
H460,אֶליָסָף,Old Testament,Hebrew,noun proper,the name of two Israelites,,6
H461,אֱלִיעֶזֶר,Old Testament,Hebrew,noun proper,the name of a Damascene and of ten Israelites,,14
H462,אֱלִיעֵינַי,Old Testament,Hebrew,noun proper,an Israelite,,1
H463,אֱלִיעָם,Old Testament,Hebrew,noun proper,an Israelite,,2
H464,אֱלִיפַז,Old Testament,Hebrew,noun proper,"the name of one of Job's friends, and of a son of Esau",,15
H465,אֱלִיפָל,Old Testament,Hebrew,noun proper,an Israelite,,1
H466,אֱלִיפְלֵהוּ,Old Testament,Hebrew,noun proper,an Israelite,,2
H467,אֱלִיפֶלֶט אֱלפֶּלֶט,Old Testament,Hebrew,noun proper,the name of six Israelites,,9
H468,אֱלִיצּוּר,Old Testament,Hebrew,noun proper,an Israelite,,5
H469,אֱלִיצָּפָן אֶלצָּפָן,Old Testament,Hebrew,noun proper,an Israelite,,6
H470,אֱלִיקָא,Old Testament,Hebrew,noun proper,an Israelite,,1
H471,אֶליָקִים,Old Testament,Hebrew,noun proper,the name of four Israelites,,12
H472,אֱלִישֶׁבַע,Old Testament,Hebrew,noun proper,the wife of Aaron,,1
H473,אֱלִישָׁה,Old Testament,Hebrew,noun proper,a son of Javan,,3
H474,אֱלִישׁוַּע,Old Testament,Hebrew,noun proper,the son of King David,,2
H475,אֶליָשִׁיבּ,Old Testament,Hebrew,noun proper,the name of six Israelites,,17
H476,אֱלִישָׁמָע,Old Testament,Hebrew,noun proper,the name of seven Israelites,,17
H477,אֱלִישָׁע,Old Testament,Hebrew,noun proper,the famous prophet,,58
H478,אֱלִישָׁפָט,Old Testament,Hebrew,noun proper,an Israelite,,1
A479,אִלֵּך,Old Testament,Aramaic,pronoun demonstrative,those.,,14
H480,אַלְלַי,Old Testament,Hebrew,injunction,alas!,,2
H481,אָלַם,Old Testament,Hebrew,verb,"be dumb, put to silence.",,9
H482,אֵלֶם,Old Testament,Hebrew,adjective,silence (i.e. mute justice),,1
H483,אִלֵּם,Old Testament,Hebrew,adjective,speechless,,6
H484,אַלמֻגִּים,Old Testament,Hebrew,noun,almug (i.e. probably sandle-wood) sticks,,3
H485,אֲלוּמָּה אָלוּם,Old Testament,Hebrew,noun,something bound; a sheaf,,5
H486,אַלמוֹדָד,Old Testament,Hebrew,noun proper,a son of Joktan,,2
H487,אַלַּמֶּלֶך,Old Testament,Hebrew,noun location,a place in Israel,,1
H488,אַלמָן,Old Testament,Hebrew,adjective,discarded (as a divorced person),,1
H489,אַלמוֹן,Old Testament,Hebrew,noun,H488,,1
H490,אַלמָנָה,Old Testament,Hebrew,noun,widow.,,56
H491,אַלמָנוּת,Old Testament,Hebrew,noun,widowhood.,,4
H492,אַלמוֹנִי,Old Testament,Hebrew,adjective,without giving the name of the person or place),,3
H493,אֶלנַעַם,Old Testament,Hebrew,noun proper,an Israelite,,1
H494,אֶלנָתָן,Old Testament,Hebrew,noun proper,the name of four Israelites,,7
H495,אֶלָּסָר,Old Testament,Hebrew,noun location,an early country of Asia,,2
H496,אֶלעָד,Old Testament,Hebrew,noun proper,an Israelite,,1
H497,אֶלעָדָה,Old Testament,Hebrew,noun proper,an Israelite,,1
H498,אֶלעוּזַי,Old Testament,Hebrew,noun proper,an Israelite,,1
H499,אֶלעָזָר,Old Testament,Hebrew,noun proper,the name of seven Israelites,,72
H500,אֶלעָלֵא אֶלעָלֵה,Old Testament,Hebrew,noun location,a place east of the Jordan,,5
H501,אֶלעָשָׂה,Old Testament,Hebrew,noun proper,the name of four Israelites,,6
H502,אָלַף,Old Testament,Hebrew,verb,to learn (and causatively to teach),,4
H503,אָלַף,Old Testament,Hebrew,noun,to make a thousandfold,,1
H504,אֶלֶף,Old Testament,Hebrew,noun,from the sense of yoking or taming) an ox or cow,,7
H505,אֶלֶף,Old Testament,Hebrew,noun,this was eventually used as a numeral},,508
A506,אֲלַף אֶלֶף,Old Testament,Aramaic,noun,the same as H504],,5
H507,אֶלֶף,Old Testament,Hebrew,noun location,a place in Israel,,1
H508,אֶלפַּעַל,Old Testament,Hebrew,noun proper,an Israelite,,3
H509,אָלַץ,Old Testament,Hebrew,verb,to press,,1
H510,אַלקוּם,Old Testament,Hebrew,verb,H6965,,1
H511,אֶלקָנָה,Old Testament,Hebrew,noun proper,the name of several Israelites,,21
H512,אֶלקוֹשִׁי,Old Testament,Hebrew,adjective,an Elkoshite or native of Elkosh,,1
H513,אֶלתּוֹלַד,Old Testament,Hebrew,noun location,a place in Israel,,2
H514,אֶלתְּקֵא אֶלתְּקֵה,Old Testament,Hebrew,noun location,a place in Israel,,2
H515,אֶלתְּקוֹן,Old Testament,Hebrew,noun location,a place in Israel,,1
H516,אַל תַּשׁחֵת,Old Testament,Hebrew,noun,H7843,,8
H517,אֵם,Old Testament,Hebrew,noun,"mother, X parting.",ఒక తల్లి (కుటుంబం యొక్క బంధంగా); విస్తృత అర్థంలో (వాచ్యంగా మరియు అలంకారికంగా (H0001 లాగా,220
H518,אִם,Old Testament,Hebrew,particle,"if, although",,1070
H519,אָמָה,Old Testament,Hebrew,noun,maid(-servant).,,56
H520,אַמָּה,Old Testament,Hebrew,noun,"+ hundred (by exchange for H3967), measure, post.",,249
A521,אַמָּה,Old Testament,Aramaic,noun,cubit,,4
H522,אַמָּה,Old Testament,Hebrew,noun location,a hill in Israel,,1
H523,אוּמַּה,Old Testament,Hebrew,noun,i.e. community of persons,,3
A524,אוּמָּה,Old Testament,Aramaic,noun,nation,,8
H525,אָמוֹן,Old Testament,Hebrew,noun,i.e. an architect (like H0542),,1
H526,אָמוֹן,Old Testament,Hebrew,noun proper,the name of three Israelites,,17
H527,אָמוֹן,Old Testament,Hebrew,noun,a throng of people,,3
H528,אָמוֹן,Old Testament,Hebrew,noun proper,a deity of Egypt (used only as an adjunct of H4996),,2
