strongs,word,occurrences,english_meaning,telugu_meaning
H517,אֵם,220,"mother, X parting.",ఒక తల్లి (కుటుంబం యొక్క బంధంగా); విస్తృత అర్థంలో (వాచ్యంగా మరియు అలంకారికంగా (H0001 లాగా
H3559,כּוּן,220,"in a great variety of applications, whether literal (establish, fix, prepare, apply), or figurative (appoint, render sure, proper or prosperous)",
H899,בֶּגֶד,218,"cloth(-es, ing), garment, lap, rag, raiment, robe, X very (treacherously), vesture, wardrobe.",
H3091,יְהוֹשׁוַּע יְהוֹשׁוַּע,218,the Jewish leader,
H8354,שָׁתָה,217,"banquet, X certainly, drink(-er, -ing), drunk (X -ard), surely. (Prop. intensive of H8248.)",
H4264,מַחֲנֶה,216,or even the sacred courts),
H5186,נָטָה,216,"apply, bow (down, - ing), carry aside, decline, deliver, extend, go down, be gone, incline, intend, lay, let down, offer, outstretched, overthrown, pervert, pitch, prolong, put away, shew, spread (out), stretch (forth, out), take (aside), turn (aside, away), wrest, cause to yield.",
H5800,עָזַב,215,"i.e. relinquish, permit, etc",
H8337,שֵׁשׁ שִׁשָּׁה,215,"-teenth)), sixth.",ఆరు (ఓవర్‌ప్లస్‌గా (H7797 చూడండి) ఐదు దాటి లేదా చేతి వేళ్లు); (ఆర్డినల్‌గా) ఆరవది
H1242,בּוֹקֶר,214,"early, morning, morrow.",(సరిగ్గా) డాన్ (రోజు విరామంగా); (సాధారణంగా) ఉదయం
H4397,מַלאָך,214,"of God, i.e. an angel (also a prophet, priest or teacher)","ఒక దూత; ప్రత్యేకంగా, దేవుని, అనగా ఒక దేవదూత (ప్రవక్త, పూజారి లేదా గురువు కూడా)"
H3130,יוֹסֵף,213,the name of seven Israelites,
H5337,נָצַל,213,whether in a good or a bad sense,
H3254,יָסַף,212,to continue to do a thing),
H7901,שָׁכַב,212,"sexual connection, decease or any other purpose)",
H4503,מִנחָה,211,specifically a sacrificial offering (usually bloodless and voluntary),
H157,אָהַב אָהֵב,210,"-ly, -r), like, friend.",ప్రేమించు
H3467,יָשַׁע,206,"(by implication) to be safe; causatively, to free or succor",
H3615,כָּלָה,206,"whether intransitive (to cease, be finished, perish) or transitived (to complete, prepare, consume)",
H6662,צַּדִּיק,206,"lawful, righteous (man).",
H8199,שָׁפַט,204,(by implication) to vindicate or punish; (by extenssion) to govern,
H622,אָסַף,202,"(thus) to remove (destroy, leave behind, put up, restore, etc.)",
H727,אָרוֹן אָרוֹן,202,"chest, coffin.",
H905,בַּד,200,(figuratively) chief of a city,
H3519,כָּבוֹד כָּבוֹד,200,"but only figuratively in a good sense, splendor or copiousness",
H3201,יָכוֹל יָכוֹל,196,"(morally) may, might",
H352,אַיִל,195,politically) a chief,
H3709,כַּף,195,(figuratively) power,
H7311,רוּם,194,"to rise or raise (in various applications, literally or figuratively)",
H8081,שֶׁמֶן,193,(figuratively) richness,
H929,בְּהֵמָה,190,cattle.,
H2691,חָצֵר,190,"tower, village.",
H7626,שֵׁבֶט,190,"i.e. (literally) a stick (for punishing, writing, fighting, ruling, walking, etc.) or (figuratively) a clan",
H7453,רֵַע רֵיַע,189,"companion, fellow, friend, husband, lover, neighbour, X (an-)other.",
H241,אוֹזֶן,188,"audience, + displease, ear, hearing, + show.",విశాలత; (కాంక్రీట్) చెవి (మనిషిలో దాని రూపం నుండి)
H5612,סֵפֶר סִפרָה,188,"book, evidence, X learn(-ed) (-ing), letter, register, scroll.",
H7650,שָׁבַע,187,"to seven oneself, i.e. swear (as if by repeating a declaration seven times)",
H6,אָבַד,185,(by implication) to perish; (causative) to destroy,నశించు - నాశనం చేయు
H1540,גָּלָה,185,"appear, bewray, bring, (carry, lead, go) captive (into captivity), depart, disclose, discover, exile, be gone, open, X plainly, publish, remove, reveal, X shamelessly, shew, X surely, tell, uncover.",
H4687,מִצוָה,184,"whether human or divine (collectively, the Law)",
H1241,בָּקָר,183,a herd,
H3383,יַרדֵּן,183,the principal river of Israel,
H7223,רִאשׁוֹן רִאשׁוֹן,182,"in place, time or rank (as adjective or noun)",
H669,אֶפרַיִם,180,"(also) the tribe descended from him, and its territory",
H4124,מוֹאָב,180,also his territory and descendants,
H4430,מֶלֶך,180,"melek (meh'-lek) n-m. 1. a king [(Aramaic) corresponding to H4428] KJV: king, royal.  Root(s): H4428",
H2205,זָקֵן,179,"ancient (man), elder(-est), old (man, men and...women), senator.",
H8193,שָׂפָה שֶׂפֶת,178,"water, cloth, etc.)",
H3898,לָחַם,177,"eat, X ever, fight(-ing), overcome, prevail, (make) war(-ring).",
H6235,עֶשֶׂר עֲשָׂרָה,177,"(fif-, seven-)teen.",పది (అంకెల మేరకు చేరడం)
H85,אַברָהָם,175,the later name of Abram,సమూహమునకు తండ్రి
H6942,קָדַשׁ,175,"make, pronounce or observe as) clean (ceremonially or morally)",శుభ్రంగా (ఆచారపరంగా లేదా నైతికంగా)
H7592,שָׁאַל שָׁאֵל,175,"on), beg, borrow, lay to charge, consult, demand, desire, X earnestly, enquire, + greet, obtain leave, lend, pray, request, require, + salute, X straitly, X surely, wish.",
H7812,שָׁחָה,175,"i.e. prostrate (especially reflexive, in homage to royalty or God)",
H7970,שְׁלוֹשִׁים שְׁלוֹשִׁים,174,thirtieth.,
H995,בִּין,171,"consider, be cunning, diligently, direct, discern, eloquent, feel, inform, instruct, have intelligence, know, look well to, mark, perceive, be prudent, regard, (can) skill(-full), teach, think, (cause, make to, get, give, have) understand(-ing), view, (deal) wise(-ly, man).",
H1755,דּוֹר דּוֹר,168,also a dwelling,
H1144,בִּניָמִין,167,"also the tribe descended from him, and its territory",
H2026,הָרַג,167,"out of hand, kill, murder(-er), put to (death), make (slaughter), slay(-er), X surely.",
H4399,מְלָאכָּה,167,(generally) employment (never servile); (abstractly or concretely) work,
H312,אַחֵר,166,"other, etc",
H1875,דָּרַשׁ,165,"X at all, care for, X diligently, inquire, make inquisition, (necro-)mancer, question, require, search, seek (for, out), X surely.",
H1984,הָלַל,165,"to shine; (hence) to make a show, to boast",
H2351,חוּץ חוּץ,164,"i.e. outside, outdoors",
H6607,פֶּתַח,164,i.e. door (gate) or entrance way,
H7462,רָעָה,164,(generally) to rule,
H2572,חֲמִשִּׁים,163,fifty,
H2077,זֶבַח,162,(by implication) a sacrifice (the victim or the act),"(సరిగ్గా) ఒక వధ, అంటే జంతువు యొక్క మాంసం; (సూచన ద్వారా) ఒక త్యాగం (బాధితుడు లేదా చర్య)"
H388,אֵיתָּנִים,161,the name of a month,
H2930,טָּמֵא,161,especially in a ceremial or moral sense (contaminated),
H5127,נוּס,161,"causatively, chase, impel, deliver)",
H5608,סָפַר,161,"intensively, to recount, i.e. celebrate",
H1368,גִּבּוֹר גִּבּוֹר,160,tyrant,
H6666,צְּדָקָה,159,"subjectively (rectitude), objectively (justice), morally (virtue) or figuratively (prosperity)","సరైనది (నైరూప్యమైనది), ఆత్మాశ్రయమైనది (నిజాయితీ), నిష్పాక్షికంగా (న్యాయం), నైతికంగా (ధర్మం) లేదా అలంకారికంగా (శ్రేయస్సు)"
H5437,סָבַב,158,"used in various applications, literally and figuratively (as follows)",
H4194,מָוֶת,156,"(figuratively) pestilence, ruin",
H8145,שֵׁנִי,156,other (being distinct from something prior),
H6726,צִּיוֹן,154,a mountain of Jerusalem,
H3680,כָּסָה,153,(by implication) to cover (for clothing or secrecy),
H6828,צָּפוֹן צָּפוֹן,153,used only of the north as a quarter (gloomy and unknown),
H977,בָּחַר,152,"appoint, choose (choice), excellent, join, be rather, require.",
H803,אֲשׁוּיָה,151,foundation,
H5048,נֶגֶד,151,"specifically a counterpart, or mate; usually (adverbial, especially with preposition) over against or before",
H8055,שָׂמַח,151,"i.e. (figuratively) be (causatively, make) blithe or gleesome","బహుశా ప్రకాశవంతంగా, అంటే (అలంకారికంగా) ఉబ్బెత్తుగా లేదా ఉల్లాసంగా (కారణంగా, చేయండి)"
H5060,נָגַע,150,"(euphemism) to lie with a woman); (by implication, to reach (figuratively, to arrive, acquire)",
H2451,חָכמָה,149,"wisdom, wisely, wit.",
H5712,עֵדָה,149,"company, congregation, multitude, people, swarm.",
H7230,רוֹב,149,"all, X common (sort), excellent, great(-ly, -ness, number), huge, be increased, long, many, more in number, most, much, multitude, plenty(-ifully), X very (age).",
H7665,שָׁבַר,149,"off, in pieces, up), broken((-hearted)), bring to the birth, crush, destroy, hurt, quench, X quite, tear, view (by mistake for H7663).",
H8130,שָׂנֵא,149,"foe, (be) hate(-ful, -r), odious, X utterly.",ద్వేషించడం (వ్యక్తిగతంగా)
H3414,יִרמְיָה יִרמְיָהוּ,147,the name of eight or nine Israelites,
H7843,שָׁחַת,147,i.e. (causatively) ruin (literally or figuratively),
H4519,מְנַשֶּׁה,146,"a grandson of Jacob, also the tribe descended from him, and its territory",
H5265,נָסַע,146,"especially the tent-pins, i.e. start on a journey",
H6605,פָּתַח,146,"to loosen, begin, plough, carve",
H3097,יוֹאָב,145,the name of three Israelites,
H5656,עֲבוֹדָה עֲבוֹדָה,145,"bondage, + bondservant, effect, labour, ministering(-try), office, service(-ile, -itude), tillage, use, work, X wrought.",
H7291,רָדַף,144,"put to flight, follow (after, on), hunt, (be under) persecute(-ion, -or), pursue(-r).",
H2490,חָלַל,143,"(figuratively) to profane (a person, place or thing), to break (one's word), to begin (as if by an ""opening wedge"")",
H2583,חָנָה,143,"camp, dwell, encamp, grow to an end, lie, pitch (tent), rest in tent.",
H3162,יַחַד,142,i.e. (adverb) unitedly,
H3644,כְּמוֹ כָּמוֹ,142,"thus, so",
H227,אָז,141,"for, from, hitherto, now, of old, once, since, then, at which time, yet.",
